"un_federativa","capital","grandeza","medida",2016,2017
"Total","Total Capitais","Estupro","Ns. Abs.",11434,12163
"AC","Rio Branco","Estupro","Ns. Abs.",111,98
"AL","Maceió","Estupro","Ns. Abs.",155,179
"AP","Macapá","Estupro","Ns. Abs.",306,279
"AM","Manaus","Estupro","Ns. Abs.",783,726
"BA","Salvador","Estupro","Ns. Abs.",501,586
"CE","Fortaleza","Estupro","Ns. Abs.",458,504
"DF","Brasília","Estupro","Ns. Abs.",668,883
"ES","Vitória","Estupro","Ns. Abs.",25,29
"GO","Goiânia","Estupro","Ns. Abs.",161,121
"MA","São Luís","Estupro","Ns. Abs.",224,272
"MT","Cuiabá","Estupro","Ns. Abs.",353,320
"MS","Campo Grande","Estupro","Ns. Abs.",538,562
"MG","Belo Horizonte","Estupro","Ns. Abs.",568,617
"PA","Belém","Estupro","Ns. Abs.",481,559
"PB","João Pessoa","Estupro","Ns. Abs.",92,44
"PR","Curitiba","Estupro","Ns. Abs.",570,659
"PE","Recife","Estupro","Ns. Abs.",446,419
"PI","Teresina","Estupro","Ns. Abs.",226,256
"RJ","Rio de Janeiro","Estupro","Ns. Abs.",1392,1438
"RN","Natal","Estupro","Ns. Abs.",78,72
"RS","Porto Alegre","Estupro","Ns. Abs.",244,271
"RO","Porto Velho","Estupro","Ns. Abs.",382,346
"RR","Boa Vista","Estupro","Ns. Abs.","...","..."
"SC","Florianópolis","Estupro","Ns. Abs.",195,222
"SP","São Paulo","Estupro","Ns. Abs.",2316,2546
"SE","Aracaju","Estupro","Ns. Abs.",95,77
"TO","Palmas (4)","Estupro","Ns. Abs.",66,78
"Total","Total Capitais","Estupro","Taxas (2)","23,2943409481082","24,5839793626356"
"AC","Rio Branco","Estupro","Taxas (2)","29,4385199054785","25,5579056078739"
"AL","Maceió","Estupro","Taxas (2)","15,1706601390415","17,3933491331019"
"AP","Macapá","Estupro","Taxas (2)","65,7364740759836","58,7732196348898"
"AM","Manaus","Estupro","Taxas (2)","37,3855693612129","34,0802830071766"
"BA","Salvador","Estupro","Taxas (2)","17,0518826503731","19,8376024801742"
"CE","Fortaleza","Estupro","Taxas (2)","17,5498023539726","19,1818630917357"
"DF","Brasília","Estupro","Taxas (2)","22,4370687246071","29,0513659735136"
"ES","Vitória","Estupro","Taxas (2)","6,9530391734227","7,98590075452993"
"GO","Goiânia","Estupro","Taxas (2)","11,1138799935664","8,25316058536053"
"MA","São Luís","Estupro","Taxas (2)","20,6845286189845","24,9114361809303"
"MT","Cuiabá","Estupro","Taxas (2)","60,3040485712382","54,2264428470238"
"MS","Campo Grande","Estupro","Taxas (2)","62,2698158063478","64,2866130563595"
"MG","Belo Horizonte","Estupro","Taxas (2)","22,5984115067292","24,4473201854034"
"PA","Belém","Estupro","Taxas (2)","33,263210888757","38,4913325644248"
"PB","João Pessoa","Estupro","Taxas (2)","11,4753566715479","5,42140320700642"
"PR","Curitiba","Estupro","Taxas (2)","30,095084627906","34,5322866399876"
"PE","Recife","Estupro","Taxas (2)","27,4363105421255","25,64735076333"
"PI","Teresina","Estupro","Taxas (2)","26,6688694051426","30,110633052536"
"RJ","Rio de Janeiro","Estupro","Taxas (2)","21,4192170075969","22,0543149619969"
"RN","Natal","Estupro","Taxas (2)","8,88724816615052","8,1339388598929"
"RS","Porto Alegre","Estupro","Taxas (2)","16,4751431278059","18,2498833286979"
"RO","Porto Velho","Estupro","Taxas (2)","74,7233573087072","66,6107085377217"
"RR","Boa Vista","Estupro","Taxas (2)","...","..."
"SC","Florianópolis","Estupro","Taxas (2)","40,8122260871749","45,6942437602658"
"SP","São Paulo","Estupro","Taxas (2)","19,238796578385","21,0292956424921"
"SE","Aracaju","Estupro","Taxas (2)","14,8085103729718","11,8442223268206"
"TO","Palmas (4)","Estupro","Taxas (2)","23,5835572580184","27,1978855387448"
