"unidade_federativa","grandeza","medida",2016,2017
"Brasil","Estupro","Ns. Absolutos",55070,61032
"Acre","Estupro","Ns. Absolutos"," 277,00 "," 210,00 "
"Alagoas","Estupro","Ns. Absolutos"," 1.278,00 "," 1.485,00 "
"Amapá","Estupro","Ns. Absolutos"," 450,00 "," 397,00 "
"Amazonas","Estupro","Ns. Absolutos"," 958,00 "," 865,00 "
"Bahia","Estupro","Ns. Absolutos"," 2.845,00 "," 3.270,00 "
"Ceará","Estupro","Ns. Absolutos"," 1.670,00 "," 1.755,00 "
"Distrito Federal","Estupro","Ns. Absolutos"," 803,00 "," 1.039,00 "
"Espírito Santo","Estupro","Ns. Absolutos"," 390,00 "," 408,00 "
"Goiás (5)","Estupro","Ns. Absolutos"," 2.313,00 "," 2.495,00 "
"Maranhão","Estupro","Ns. Absolutos"," 955,00 "," 1.199,00 "
"Mato Grosso","Estupro","Ns. Absolutos"," 1.614,00 "," 1.705,00 "
"Mato Grosso do Sul (5)","Estupro","Ns. Absolutos"," 1.694,00 "," 1.792,00 "
"Minas Gerais","Estupro","Ns. Absolutos"," 4.692,00 "," 5.199,00 "
"Pará","Estupro","Ns. Absolutos"," 3.002,00 "," 3.334,00 "
"Paraíba","Estupro","Ns. Absolutos"," 464,00 "," 365,00 "
"Paraná","Estupro","Ns. Absolutos"," 4.595,00 "," 5.966,00 "
"Pernambuco","Estupro","Ns. Absolutos"," 2.067,00 "," 2.049,00 "
"Piauí (5)","Estupro","Ns. Absolutos"," 653,00 "," 773,00 "
"Rio de Janeiro","Estupro","Ns. Absolutos"," 4.705,00 "," 4.952,00 "
"Rio Grande do Norte (5)","Estupro","Ns. Absolutos"," 210,00 "," 213,00 "
"Rio Grande do Sul","Estupro","Ns. Absolutos"," 4.079,00 "," 4.372,00 "
"Rondônia","Estupro","Ns. Absolutos"," 790,00 "," 941,00 "
"Roraima (6)","Estupro","Ns. Absolutos"," 82,00 "," 193,00 "
"Santa Catarina","Estupro","Ns. Absolutos"," 3.588,00 "," 3.993,00 "
"São Paulo (5)","Estupro","Ns. Absolutos",10055," 11.089,00 "
"Sergipe (5)","Estupro","Ns. Absolutos"," 373,00 "," 389,00 "
"Tocantins","Estupro","Ns. Absolutos"," 468,00 "," 584,00 "
"Brasil","Estupro","Taxas","26,7","29,39021813"
"Acre","Estupro","Taxas","33,9175228698388","25,3128243205616"
"Alagoas","Estupro","Taxas","38,0474569085757","43,9892731342846"
"Amapá","Estupro","Taxas","57,5230571587445","49,7667107087432"
"Amazonas","Estupro","Taxas","23,9400229954167","21,286470614581"
"Bahia","Estupro","Taxas","18,6232953138814","21,3106409113342"
"Ceará","Estupro","Taxas","18,6307762797419","19,4557705482869"
"Distrito Federal","Estupro","Taxas","26,9715062662568","34,1838836313484"
"Espírito Santo","Estupro","Taxas","9,81453794791098","10,1584620486829"
"Goiás (5)","Estupro","Taxas","34,5437587880861","36,8060763807958"
"Maranhão","Estupro","Taxas","13,733032155715","17,1280110979227"
"Mato Grosso","Estupro","Taxas","48,8272534730426","50,9785489441909"
"Mato Grosso do Sul (5)","Estupro","Taxas","63,1527304422257","66,04876182529"
"Minas Gerais","Estupro","Taxas","22,3454534717367","24,6170181011553"
"Pará","Estupro","Taxas","36,2879264435753","39,8487897394267"
"Paraíba","Estupro","Taxas","11,6016967481494","9,0670659819086"
"Paraná","Estupro","Taxas","40,9","52,6990276031253"
"Pernambuco","Estupro","Taxas","21,9652093187746","21,6292881462423"
"Piauí (5)","Estupro","Taxas","20,3288732262825","24,0117517799915"
"Rio de Janeiro","Estupro","Taxas","28,2820457518744","29,6190743010508"
"Rio Grande do Norte (5)","Estupro","Taxas","6,04316894570875","6,07356195589225"
"Rio Grande do Sul","Estupro","Taxas","36,140521862402","38,6120334066509"
"Rondônia","Estupro","Taxas","44,2012690799814","52,1102144880794"
"Roraima (6)","Estupro","Taxas","15,9462029562705","36,9281871130194"
"Santa Catarina","Estupro","Taxas","51,9205915937552","57,0333977464595"
