"un_federativa","grandeza","medida",2016,2017
"Brasil","Homicidios (2)","Ns. Absolutos",4245,4539
"Acre","Homicidios (2)","Ns. Absolutos",26," 34,00 "
"Alagoas (4)","Homicidios (2)","Ns. Absolutos",54," 74,00 "
"Amapá","Homicidios (2)","Ns. Absolutos",20," 23,00 "
"Amazonas","Homicidios (2)","Ns. Absolutos",68," 73,00 "
"Bahia","Homicidios (2)","Ns. Absolutos",443," 474,00 "
"Ceará","Homicidios (2)","Ns. Absolutos",202," 351,00 "
"Distrito Federal","Homicidios (2)","Ns. Absolutos",54," 41,00 "
"Espírito Santo","Homicidios (2)","Ns. Absolutos",99," 135,00 "
"Goiás","Homicidios (2)","Ns. Absolutos",198," 197,00 "
"Maranhão","Homicidios (2)","Ns. Absolutos",123," 125,00 "
"Mato Grosso (4)","Homicidios (2)","Ns. Absolutos",91," 84,00 "
"Mato Grosso do Sul","Homicidios (2)","Ns. Absolutos",104," 84,00 "
"Minas Gerais","Homicidios (2)","Ns. Absolutos",353," 344,00 "
"Pará","Homicidios (2)","Ns. Absolutos",268," 277,00 "
"Paraíba","Homicidios (2)","Ns. Absolutos",97," 76,00 "
"Paraná","Homicidios (2)","Ns. Absolutos",200," 180,00 "
"Pernambuco","Homicidios (2)","Ns. Absolutos",280," 316,00 "
"Piauí","Homicidios (2)","Ns. Absolutos",55," 62,00 "
"Rio de Janeiro","Homicidios (2)","Ns. Absolutos",396," 381,00 "
"Rio Grande do Norte","Homicidios (2)","Ns. Absolutos",102," 149,00 "
"Rio Grande do Sul","Homicidios (2)","Ns. Absolutos",288," 280,00 "
"Rondônia","Homicidios (2)","Ns. Absolutos",44," 66,00 "
"Roraima","Homicidios (2)","Ns. Absolutos",6," 12,00 "
"Santa Catarina","Homicidios (2)","Ns. Absolutos",115," 110,00 "
"São Paulo (4)","Homicidios (2)","Ns. Absolutos",474," 508,00 "
"Sergipe","Homicidios (2)","Ns. Absolutos",51," 69,00 "
"Tocantins","Homicidios (2)","Ns. Absolutos",34," 14,00 "
"Brasil","Homicidios (2)","Taxas","4,06783247199736","4,31506311148183"
"Acre","Homicidios (2)","Taxas","6,422813834741","8,26442263285059"
"Alagoas (4)","Homicidios (2)","Taxas","3,12810638342243","4,2603536669267"
"Amapá","Homicidios (2)","Taxas","5,15558259372205","5,81192607230036"
"Amazonas","Homicidios (2)","Taxas","3,43209523862399","3,62718680856751"
"Bahia","Homicidios (2)","Taxas","5,72887448436897","6,0952024327316"
"Ceará","Homicidios (2)","Taxas","4,41485375359827","7,61859283939095"
"Distrito Federal","Homicidios (2)","Taxas","3,44487718055941","2,55965398472573"
"Espírito Santo","Homicidios (2)","Taxas","4,9721808989904","6,7066582212452"
"Goiás","Homicidios (2)","Taxas","5,91953380382665","5,81726351199715"
"Maranhão","Homicidios (2)","Taxas","3,49919916701991","3,52975427545016"
"Mato Grosso (4)","Homicidios (2)","Taxas","5,63399814511446","5,13597807671072"
"Mato Grosso do Sul","Homicidios (2)","Taxas","7,77502661451418","6,20613224972294"
"Minas Gerais","Homicidios (2)","Taxas","3,34309143525545","3,23863648131937"
"Pará","Homicidios (2)","Taxas","6,57660319426599","6,71646224293468"
"Paraíba","Homicidios (2)","Taxas","4,70469319822619","3,66013172621444"
"Paraná","Homicidios (2)","Taxas","3,51545252311058","3,14061310002068"
"Pernambuco","Homicidios (2)","Taxas","5,76879731701478","6,46475623572793"
"Piauí","Homicidios (2)","Taxas","3,34766947424547","3,76101994007846"
"Rio de Janeiro","Homicidios (2)","Taxas","4,61542442207544","4,41872588764491"
"Rio Grande do Norte","Homicidios (2)","Taxas","5,78342764478414","8,36840293242318"
"Rio Grande do Sul","Homicidios (2)","Taxas","5,0092671442168","4,85349466349595"
"Rondônia","Homicidios (2)","Taxas","5,02089949414438","7,44959670592378"
"Roraima","Homicidios (2)","Taxas","2,39344196900493","4,70735917150479"
"Santa Catarina","Homicidios (2)","Taxas","3,33818385961979","3,15179834450359"
"São Paulo (4)","Homicidios (2)","Taxas","2,08683533139011","2,21952219192322"
"Sergipe","Homicidios (2)","Taxas","4,39978708481323","5,88932172084274"
"Tocantins","Homicidios (2)","Taxas","4,49858030098148","1,82974724655713"
"Brasil","Feminicídios","Ns. Absolutos",929,1133
"Acre","Feminicídios","Ns. Absolutos",14,13
"Alagoas (4)","Feminicídios","Ns. Absolutos",36,31
"Amapá","Feminicídios","Ns. Absolutos","...",2
"Amazonas","Feminicídios","Ns. Absolutos",10,16
"Bahia","Feminicídios","Ns. Absolutos",18,74
"Ceará","Feminicídios","Ns. Absolutos","...","..."
"Distrito Federal","Feminicídios","Ns. Absolutos",20,19
"Espírito Santo","Feminicídios","Ns. Absolutos",35,42
"Goiás","Feminicídios","Ns. Absolutos",17,31
