"un_federativa","capital","grandeza","medida",2016,2017
"Total","Total Capitais","Nº de Vítimas","Ns. Absolutos"," 13.463,00 "," 14.229,00 "
"AL","Maceió","Nº de Vítimas","Ns. Absolutos",449," 588,00 "
"CE","Fortaleza","Nº de Vítimas","Ns. Absolutos",965," 1.931,00 "
"ES","Vitória","Nº de Vítimas","Ns. Absolutos",51," 86,00 "
"GO","Goiânia","Nº de Vítimas","Ns. Absolutos",452," 438,00 "
"MA","São Luís","Nº de Vítimas","Ns. Absolutos",498," 400,00 "
"MT","Cuiabá (4)","Nº de Vítimas","Ns. Absolutos",196," 142,00 "
"PA","Belém","Nº de Vítimas","Ns. Absolutos",878," 865,00 "
"PB","João Pessoa (4)","Nº de Vítimas","Ns. Absolutos",341," 275,00 "
"PE","Recife (4)","Nº de Vítimas","Ns. Absolutos",624," 764,00 "
"PI","Teresina (4)","Nº de Vítimas","Ns. Absolutos",341," 289,00 "
"RJ","Rio de Janeiro","Nº de Vítimas","Ns. Absolutos",1330," 1.492,00 "
"RN","Natal","Nº de Vítimas","Ns. Absolutos",495," 443,00 "
"SC","Florianópolis","Nº de Vítimas","Ns. Absolutos",79," 150,00 "
"AC","Rio Branco (4)","Nº de Vítimas","Ns. Absolutos",226," 307,00 "
"AM","Manaus","Nº de Vítimas","Ns. Absolutos",801," 961,00 "
"AP","Macapá","Nº de Vítimas","Ns. Absolutos",210," 251,00 "
"BA","Salvador","Nº de Vítimas","Ns. Absolutos",1289,1325
"DF","Brasília","Nº de Vítimas","Ns. Absolutos",603," 504,00 "
"MG","Belo Horizonte (4)","Nº de Vítimas","Ns. Absolutos",615," 547,00 "
"PR","Curitiba","Nº de Vítimas","Ns. Absolutos",468," 371,00 "
"RS","Porto Alegre (4)","Nº de Vítimas","Ns. Absolutos",785," 660,00 "
"SP","São Paulo","Nº de Vítimas","Ns. Absolutos",887," 777,00 "
"MS","Campo Grande (4) (5)","Nº de Vítimas","Ns. Absolutos",149," 114,00 "
"RO","Porto Velho (4)","Nº de Vítimas","Ns. Absolutos",173," 147,00 "
"SE","Aracaju","Nº de Vítimas","Ns. Absolutos",414," 327,00 "
"RR","Boa Vista","Nº de Vítimas","Ns. Absolutos",51," ... "
"TO","Palmas","Nº de Vítimas","Ns. Absolutos",93," 75,00 "
"Total","Total Capitais","Nº de Vítimas","Taxas","27,4279965177874","28,7597995848839"
"AL","Maceió","Nº de Vítimas","Taxas","43,9459767898687","57,1356943590162"
"CE","Fortaleza","Nº de Vítimas","Taxas","36,9772036497458","73,4924159328209"
"ES","Vitória","Nº de Vítimas","Taxas","14,1841999137823","23,6823263755026"
"GO","Goiânia","Nº de Vítimas","Taxas","31,2017003546087","29,8750771602307"
"MA","São Luís","Nº de Vítimas","Taxas","45,9861395189924","36,6344649719563"
"MT","Cuiabá (4)","Nº de Vítimas","Taxas","33,483267761934","24,0629840133668"
"PA","Belém","Nº de Vítimas","Taxas","60,7174618717852","59,5617221256305"
"PB","João Pessoa (4)","Nº de Vítimas","Taxas","42,5336589673676","33,8837700437902"
"PE","Recife (4)","Nº de Vítimas","Taxas","38,3862282024357","46,7650978118954"
"PI","Teresina (4)","Nº de Vítimas","Taxas","40,2393118015647","33,9920818444645"
"RJ","Rio de Janeiro","Nº de Vítimas","Taxas","20,4652001581206","22,8825020328925"
"RN","Natal","Nº de Vítimas","Taxas","56,3998441313399","50,0463182629522"
"SC","Florianópolis","Nº de Vítimas","Taxas","16,5341839019837","30,8744890272066"
"AC","Rio Branco (4)","Nº de Vítimas","Taxas","59,9378873751184","80,0640512409928"
"AM","Manaus","Nº de Vítimas","Taxas","38,2450077373327","45,1117795728605"
"AP","Macapá","Nº de Vítimas","Taxas","45,1132665227339","52,8748320012808"
"BA","Salvador","Nº de Vítimas","Taxas","43,8720094537543","44,8546472461278"
"DF","Brasília","Nº de Vítimas","Taxas","20,2538210193684","16,5819801253124"
"MG","Belo Horizonte (4)","Nº de Vítimas","Taxas","24,4683504870395","21,6737182194743"
"PR","Curitiba","Nº de Vítimas","Taxas","24,7096484313333","19,4407865606"
"RS","Porto Alegre (4)","Nº de Vítimas","Taxas","53,0040465382281","44,4462103208141"
"SP","São Paulo","Nº de Vítimas","Taxas","7,36822649612587","6,41781724831749"
"MS","Campo Grande (4) (5)","Nº de Vítimas","Taxas","17,2457296564049","13,0403449971975"
"RO","Porto Velho (4)","Nº de Vítimas","Taxas","33,840682760226","28,2999253035985"
"SE","Aracaju","Nº de Vítimas","Taxas","64,5339294148456","50,2994896216925"
"RR","Boa Vista","Nº de Vítimas","Taxas","15,6240905094373","..."
"TO","Palmas","Nº de Vítimas","Taxas","33,2313761362987","26,1518130180238"
