"unidade_federativa","grandeza","medida",2016,2017
"Brasil"," Nº de Vítimas ","Ns. Absolutos"," 54.338,00 "," 55.900,00 "
"Alagoas"," Nº de Vítimas ","Ns. Absolutos",1696,1703
"Ceará (6)"," Nº de Vítimas ","Ns. Absolutos",3331,5042
"Espírito Santo"," Nº de Vítimas ","Ns. Absolutos",1181,1405
"Goiás"," Nº de Vítimas ","Ns. Absolutos",2576,2254
"Maranhão (7)"," Nº de Vítimas ","Ns. Absolutos",2071,1816
"Mato Grosso (4)"," Nº de Vítimas ","Ns. Absolutos",1086,985
"Pará"," Nº de Vítimas ","Ns. Absolutos",3649,3820
"Paraíba (4)"," Nº de Vítimas ","Ns. Absolutos",1280,1242
"Pernambuco (4)"," Nº de Vítimas ","Ns. Absolutos",4277,5139
"Piauí (4) (7)"," Nº de Vítimas ","Ns. Absolutos",642,597
"Rio de Janeiro"," Nº de Vítimas ","Ns. Absolutos",5042,5346
"Rio Grande do Norte"," Nº de Vítimas ","Ns. Absolutos",1748,1863
"Santa Catarina"," Nº de Vítimas ","Ns. Absolutos",896,990
"Acre (4)"," Nº de Vítimas ","Ns. Absolutos",354,502
"Amapá (5)"," Nº de Vítimas ","Ns. Absolutos",307,352
"Amazonas"," Nº de Vítimas ","Ns. Absolutos",1023,1119
"Bahia"," Nº de Vítimas ","Ns. Absolutos",6310,6008
"Distrito Federal"," Nº de Vítimas ","Ns. Absolutos",603,504
"Minas Gerais (4) (9)"," Nº de Vítimas ","Ns. Absolutos",4194,3964
"Paraná"," Nº de Vítimas ","Ns. Absolutos",2498,2187
"Rio Grande do Sul (4)"," Nº de Vítimas ","Ns. Absolutos",2856,2865
"São Paulo"," Nº de Vítimas ","Ns. Absolutos",3674,3504
"Mato Grosso do Sul (4) (8)"," Nº de Vítimas ","Ns. Absolutos",574,530
"Rondônia (4)"," Nº de Vítimas ","Ns. Absolutos",545,481
"Sergipe"," Nº de Vítimas ","Ns. Absolutos",1306,1121
"Roraima (10)"," Nº de Vítimas ","Ns. Absolutos",192,212
"Tocantins"," Nº de Vítimas ","Ns. Absolutos",427,349
"Brasil"," Nº de Vítimas ","Taxas","26,367246904612","26,9188817892652"
"Alagoas"," Nº de Vítimas ","Taxas","50,4917738004259","50,4469576752099"
"Ceará (6)"," Nº de Vítimas ","Taxas","37,1611471783355","55,8951539056767"
"Espírito Santo"," Nº de Vítimas ","Taxas","29,7204341448279","34,9819587705871"
"Goiás"," Nº de Vítimas ","Taxas","38,4715618841806","33,2508601852961"
"Maranhão (7)"," Nº de Vítimas ","Taxas","29,7812665910847","25,9420084685801"
"Mato Grosso (4)"," Nº de Vítimas ","Taxas","32,8540255710807","29,4509505630663"
"Pará"," Nº de Vítimas ","Taxas","44,1088086584298","45,657581525078"
"Paraíba (4)"," Nº de Vítimas ","Taxas","32,0046806845501","30,852865615152"
"Pernambuco (4)"," Nº de Vítimas ","Taxas","45,4500243136908","54,2473947211025"
"Piauí (4) (7)"," Nº de Vítimas ","Taxas","19,986426663512","18,5446517628136"
"Rio de Janeiro"," Nº de Vítimas ","Taxas","30,3077735772478","31,9756807781539"
"Rio Grande do Norte"," Nº de Vítimas ","Taxas","50,3021872242804","53,1222813325224"
"Santa Catarina"," Nº de Vítimas ","Taxas","12,9656772764785","14,1405118379652"
"Acre (4)"," Nº de Vítimas ","Taxas","43,3458595520683","60,5097038520092"
"Amapá (5)"," Nº de Vítimas ","Taxas","39,2435078838546","44,1256477820594"
"Amazonas"," Nº de Vítimas ","Taxas","25,56434605878","27,5370642979377"
"Bahia"," Nº de Vítimas ","Taxas","41,3050943517018","39,1542295398459"
"Distrito Federal"," Nº de Vítimas ","Taxas","20,2538210193684","16,5819801253124"
"Minas Gerais (4) (9)"," Nº de Vítimas ","Taxas","19,9737493308746","18,7693517509097"
"Paraná"," Nº de Vítimas ","Taxas","22,2188224913544","19,3182657338309"
"Rio Grande do Sul (4)"," Nº de Vítimas ","Taxas","25,3045674035352","25,3027163106255"
"São Paulo"," Nº de Vítimas ","Taxas","8,21011108923883","7,77028586801877"
"Mato Grosso do Sul (4) (8)"," Nº de Vítimas ","Taxas","21,3988590754649","19,5345110309172"
"Rondônia (4)"," Nº de Vítimas ","Taxas","30,4932805678352","26,6365708488483"
"Sergipe"," Nº de Vítimas ","Taxas","57,6402199861505","48,9922713708571"
"Roraima (10)"," Nº de Vítimas ","Taxas","37,3374508244381","40,5636044972026"
"Tocantins"," Nº de Vítimas ","Taxas","27,8556620057903","22,5133112371742"
"Brasil","Nº de Ocorrências","Ns. Absolutos",45724,48003
"Alagoas","Nº de Ocorrências","Ns. Absolutos",1627,1617
"Ceará (6)","Nº de Ocorrências","Ns. Absolutos",3163,4743
"Espírito Santo","Nº de Ocorrências","Ns. Absolutos",1177,1386
"Goiás","Nº de Ocorrências","Ns. Absolutos","...","..."
"Maranhão (7)","Nº de Ocorrências","Ns. Absolutos",2071,1816
"Mato Grosso (4)","Nº de Ocorrências","Ns. Absolutos",1086,924
"Pará","Nº de Ocorrências","Ns. Absolutos",3531,3664
"Paraíba (4)","Nº de Ocorrências","Ns. Absolutos",1248,1207
"Pernambuco (4)","Nº de Ocorrências","Ns. Absolutos",4116,4894
"Piauí (4) (7)","Nº de Ocorrências","Ns. Absolutos",642,597
"Rio de Janeiro","Nº de Ocorrências","Ns. Absolutos",4641,4923
"Rio Grande do Norte","Nº de Ocorrências","Ns. Absolutos","...","..."
"Santa Catarina","Nº de Ocorrências","Ns. Absolutos",860,943
"Acre (4)","Nº de Ocorrências","Ns. Absolutos",341,482
"Amapá (5)","Nº de Ocorrências","Ns. Absolutos",308,325
"Amazonas","Nº de Ocorrências","Ns. Absolutos",981,1010
"Bahia","Nº de Ocorrências","Ns. Absolutos",5964,5648
"Distrito Federal","Nº de Ocorrências","Ns. Absolutos",591,498
"Minas Gerais (4) (9)","Nº de Ocorrências","Ns. Absolutos",4042,3818
"Paraná","Nº de Ocorrências","Ns. Absolutos",1450,2074
"Rio Grande do Sul (4)","Nº de Ocorrências","Ns. Absolutos",2646,2606
"São Paulo","Nº de Ocorrências","Ns. Absolutos",3521,3294
"Mato Grosso do Sul (4) (8)","Nº de Ocorrências","Ns. Absolutos",574,530
"Rondônia (4)","Nº de Ocorrências","Ns. Absolutos",535,459
"Sergipe","Nº de Ocorrências","Ns. Absolutos","...","..."
"Roraima (10)","Nº de Ocorrências","Ns. Absolutos",192,212
"Tocantins","Nº de Ocorrências","Ns. Absolutos",417,333
"Brasil","Nº de Ocorrências","Taxas","22,1873458255084","23,1160479880161"
"Alagoas","Nº de Ocorrências","Taxas","48,4375683804793","47,899430746221"
"Ceará (6)","Nº de Ocorrências","Taxas","35,2869133969004","52,5804670715241"
"Espírito Santo","Nº de Ocorrências","Taxas","29,619772217157","34,508893135967"
"Goiás","Nº de Ocorrências","Taxas","...","..."
"Maranhão (7)","Nº de Ocorrências","Taxas","29,7812665910847","25,9420084685801"
"Mato Grosso (4)","Nº de Ocorrências","Taxas","32,8540255710807","27,6270845891099"
"Pará","Nº de Ocorrências","Taxas","42,6824344677763","43,7930310753627"
"Paraíba (4)","Nº de Ocorrências","Taxas","31,2045636674364","29,9834209319553"
"Pernambuco (4)","Nº de Ocorrências","Taxas","43,7391396013915","51,6611694425133"
"Piauí (4) (7)","Nº de Ocorrências","Taxas","19,986426663512","18,5446517628136"
"Rio de Janeiro","Nº de Ocorrências","Taxas","27,8973377969074","29,4456184943605"
"Rio Grande do Norte","Nº de Ocorrências","Taxas","...","..."
"Santa Catarina","Nº de Ocorrências","Taxas","12,4447348859057","13,4691946092941"
"Acre (4)","Nº de Ocorrências","Taxas","41,7540624498737","58,0989586786224"
"Amapá (5)","Nº de Ocorrências","Taxas","39,3713368997629","40,7410100260492"
"Amazonas","Nº de Ocorrências","Taxas","24,5147834639914","24,8547229141351"
"Bahia","Nº de Ocorrências","Taxas","39,0401874347939","36,8081039349284"
"Distrito Federal","Nº de Ocorrências","Taxas","19,8507599045551","16,3845756000111"
"Minas Gerais (4) (9)","Nº de Ocorrências","Taxas","19,2498556975191","18,0780486844029"
"Paraná","Nº de Ocorrências","Taxas","12,8972348328518","18,3201111714519"
"Rio Grande do Sul (4)","Nº de Ocorrências","Taxas","23,4439374473929","23,0153154294904"
"São Paulo","Nº de Ocorrências","Taxas","7,86820934817908","7,30460092729846"
"Mato Grosso do Sul (4) (8)","Nº de Ocorrências","Taxas","21,3988590754649","19,5345110309172"
"Rondônia (4)","Nº de Ocorrências","Taxas","29,9337708326456","25,4182661530589"
"Sergipe","Nº de Ocorrências","Taxas","...","..."
"Roraima (10)","Nº de Ocorrências","Taxas","37,3374508244381","40,5636044972026"
"Tocantins","Nº de Ocorrências","Taxas","27,2033045817671","21,4811823552407"
