"un_federativa","grandeza","medida",2016,2017
"Brasil","Somente vítimas mulheres","Ns. Absolutos",194273,193482
"Acre (4)","Somente vítimas mulheres","Ns. Absolutos"," 684,00 "," 658,00 "
"Alagoas","Somente vítimas mulheres","Ns. Absolutos"," 1.941,00 "," 2.156,00 "
"Amapá (5)","Somente vítimas mulheres","Ns. Absolutos"," 788,00 "," 622,00 "
"Amazonas","Somente vítimas mulheres","Ns. Absolutos"," 2.891,00 "," 2.578,00 "
"Bahia","Somente vítimas mulheres","Ns. Absolutos"," 11.135,00 "," 11.653,00 "
"Ceará","Somente vítimas mulheres","Ns. Absolutos"," 5.562,00 "," 5.644,00 "
"Distrito Federal","Somente vítimas mulheres","Ns. Absolutos"," ... "," ... "
"Espírito Santo","Somente vítimas mulheres","Ns. Absolutos"," ... "," ... "
"Goiás","Somente vítimas mulheres","Ns. Absolutos"," ... "," ... "
"Maranhão (4)","Somente vítimas mulheres","Ns. Absolutos"," 8.600,00 "," 8.955,00 "
"Mato Grosso","Somente vítimas mulheres","Ns. Absolutos"," ... "," ... "
"Mato Grosso do Sul","Somente vítimas mulheres","Ns. Absolutos"," 38,00 "," 46,00 "
"Minas Gerais (4)","Somente vítimas mulheres","Ns. Absolutos"," 21.798,00 "," 22.670,00 "
"Pará","Somente vítimas mulheres","Ns. Absolutos"," 3.271,00 "," 3.868,00 "
"Paraíba (4)","Somente vítimas mulheres","Ns. Absolutos"," 2.122,00 "," 2.014,00 "
"Paraná","Somente vítimas mulheres","Ns. Absolutos"," 12.744,00 "," 12.854,00 "
"Pernambuco","Somente vítimas mulheres","Ns. Absolutos"," 6.779,00 "," 7.179,00 "
"Piauí","Somente vítimas mulheres","Ns. Absolutos"," ... "," ... "
"Rio de Janeiro","Somente vítimas mulheres","Ns. Absolutos"," 26.632,00 "," 24.206,00 "
"Rio Grande do Norte","Somente vítimas mulheres","Ns. Absolutos"," 2.832,00 "," 1.906,00 "
"Rio Grande do Sul","Somente vítimas mulheres","Ns. Absolutos"," 22.667,00 "," 22.960,00 "
"Rondônia","Somente vítimas mulheres","Ns. Absolutos"," ... "," ... "
"Roraima","Somente vítimas mulheres","Ns. Absolutos"," ... "," ... "
"Santa Catarina","Somente vítimas mulheres","Ns. Absolutos"," 11.453,00 "," 12.848,00 "
"São Paulo","Somente vítimas mulheres","Ns. Absolutos"," 52.336,00 "," 50.665,00 "
"Sergipe","Somente vítimas mulheres","Ns. Absolutos"," ... "," ... "
"Tocantins","Somente vítimas mulheres","Ns. Absolutos"," ... "," ... "
"Brasil","Somente vítimas mulheres","Taxas (2)","186,164904083002","183,936338606681"
"Acre (4)","Somente vítimas mulheres","Taxas (2)","168,969410113956","159,94088507105"
"Alagoas","Somente vítimas mulheres","Taxas (2)","112,438046115239","124,125979809378"
"Amapá (5)","Somente vítimas mulheres","Taxas (2)","203,129954192649","157,174696390036"
"Amazonas","Somente vítimas mulheres","Taxas (2)","145,914519630323","128,094350582014"
"Bahia","Somente vítimas mulheres","Taxas (2)","143,997781903947","149,846822676416"
"Ceará","Somente vítimas mulheres","Taxas (2)","121,561468205513","122,50523642599"
"Distrito Federal","Somente vítimas mulheres","Taxas (2)","...","..."
"Espírito Santo","Somente vítimas mulheres","Taxas (2)","...","..."
"Goiás","Somente vítimas mulheres","Taxas (2)","...","..."
"Maranhão (4)","Somente vítimas mulheres","Taxas (2)","244,659453954237","252,87159629325"
"Mato Grosso","Somente vítimas mulheres","Taxas (2)","...","..."
"Mato Grosso do Sul","Somente vítimas mulheres","Taxas (2)","2,84087510914941","3,39859623199113"
"Minas Gerais (4)","Somente vítimas mulheres","Taxas (2)","206,438263755519","213,42990997532"
"Pará","Somente vítimas mulheres","Taxas (2)","80,2689143598658","93,7879998399688"
"Paraíba (4)","Somente vítimas mulheres","Taxas (2)","102,921226460165","96,9934907446827"
"Paraná","Somente vítimas mulheres","Taxas (2)","224,004634772606","224,274671042588"
"Pernambuco","Somente vítimas mulheres","Taxas (2)","139,66670361444","146,868623469275"
"Piauí","Somente vítimas mulheres","Taxas (2)","...","..."
"Rio de Janeiro","Somente vítimas mulheres","Taxas (2)","310,39894749675","280,734065187225"
"Rio Grande do Norte","Somente vítimas mulheres","Taxas (2)","160,575167549301","107,048161001333"
"Rio Grande do Sul","Somente vítimas mulheres","Taxas (2)","394,253674854036","397,986562406668"
"Rondônia","Somente vítimas mulheres","Taxas (2)","...","..."
"Roraima","Somente vítimas mulheres","Taxas (2)","...","..."
"Santa Catarina","Somente vítimas mulheres","Taxas (2)","332,454084732395","368,13004663802"
"São Paulo","Somente vítimas mulheres","Taxas (2)","230,414797265048","221,362385538957"
"Sergipe","Somente vítimas mulheres","Taxas (2)","...","..."
"Tocantins","Somente vítimas mulheres","Taxas (2)","...","..."
"Brasil","Total de registros","Ns. Absolutos",223050,221238
"Acre (4)","Total de registros","Ns. Absolutos",684,658
"Alagoas","Total de registros","Ns. Absolutos",1578,1815
"Amapá (5)","Total de registros","Ns. Absolutos",786,694
"Amazonas","Total de registros","Ns. Absolutos",3148,2687
"Bahia","Total de registros","Ns. Absolutos",11108,11637
"Ceará","Total de registros","Ns. Absolutos",5860,5931
"Distrito Federal","Total de registros","Ns. Absolutos"," ... "," ... "
"Espírito Santo","Total de registros","Ns. Absolutos","...","..."
"Goiás","Total de registros","Ns. Absolutos",4921,5171
"Maranhão (4)","Total de registros","Ns. Absolutos",8600,8955
"Mato Grosso","Total de registros","Ns. Absolutos","...","..."
"Mato Grosso do Sul","Total de registros","Ns. Absolutos",5495,5632
"Minas Gerais (4)","Total de registros","Ns. Absolutos",21798,22670
"Pará","Total de registros","Ns. Absolutos",3998,4989
"Paraíba (4)","Total de registros","Ns. Absolutos",2122,2014
"Paraná","Total de registros","Ns. Absolutos",14473,14111
"Pernambuco","Total de registros","Ns. Absolutos",8492,8629
"Piauí","Total de registros","Ns. Absolutos",2279,2407
"Rio de Janeiro","Total de registros","Ns. Absolutos",26946,24477
"Rio Grande do Norte","Total de registros","Ns. Absolutos",2342,2220
"Rio Grande do Sul","Total de registros","Ns. Absolutos",24536,22595
"Rondônia","Total de registros","Ns. Absolutos",3748,3700
"Roraima","Total de registros","Ns. Absolutos","...","..."
"Santa Catarina","Total de registros","Ns. Absolutos",14395,15813
"São Paulo","Total de registros","Ns. Absolutos",52336,50665
"Sergipe","Total de registros","Ns. Absolutos",3405,3768
"Tocantins","Total de registros","Ns. Absolutos","...","..."
"Brasil","Total de registros","Taxas (2)","108,233914057818","106,538096051761"
"Acre (4)","Total de registros","Taxas (2)","83,7530167616235","79,3135162044264"
"Alagoas","Total de registros","Taxas (2)","46,9787848213868","53,7646671641256"
"Amapá (5)","Total de registros","Taxas (2)","100,47360650394","86,9977260248558"
"Amazonas","Total de registros","Taxas (2)","78,6672154379662","66,1234064062187"
"Bahia","Total de registros","Taxas (2)","72,7126763959911","75,8385101789592"
